Topology	T2	T1	res_topo
ABC	0.1015	0.1475	ABC
ABC	0.0905	0.1335	ABC
ABC	0.077	0.116	ABC
ABC	0.082	0.142	ABC
ABC	0.0965	0.1535	ABC
ACB	0.126	0.274	other
ABC	0.095	0.135	ABC
ABC	0.0855	0.1325	ABC
ABC	0.091	0.142	ABC
ABC	0.094	0.13	ABC
ABC	0.091	0.15	ABC
ABC	0.0855	0.1235	ABC
ABC	0.106	0.133	ABC
ACB	0.135	0.265	other
ABC	0.082	0.127	ABC
ABC	0.1005	0.1345	ABC
ABC	0.091	0.133	ABC
ABC	0.093	0.145	ABC
ABC	0.093	0.133	ABC
ABC	0.0935	0.1515	ABC
ABC	0.089	0.12	ABC
ABC	0.094	0.134	ABC
ABC	0.108	0.156	ABC
ACB	0.137	0.25	other
ACB	0.1315	0.2705	other
ABC	0.102	0.131	ABC
ABC	0.0875	0.1375	ABC
ABC	0.0925	0.1265	ABC
ABC	0.099	0.17	ABC
ABC	0.1085	0.1445	ABC
ACB	0.157	0.261	other
ABC	0.082	0.147	ABC
ACB	0.1255	0.2565	other
ABC	0.087	0.128	ABC
ABC	0.0955	0.1575	ABC
ABC	0.087	0.143	ABC
ABC	0.095	0.142	ABC
ABC	0.0895	0.1455	ABC
ABC	0.115	0.137	ABC
ABC	0.0965	0.1475	ABC
ABC	0.0825	0.1365	ABC
ABC	0.097	0.132	ABC
ABC	0.088	0.127	ABC
ABC	0.095	0.139	ABC
ABC	0.098	0.123	ABC
ACB	0.125	0.242	other
ABC	0.138	0.147	ABC
ABC	0.088	0.147	ABC
ABC	0.096	0.141	ABC
ABC	0.091	0.129	ABC
ABC	0.148	0.173	ABC
ABC	0.093	0.133	ABC
ABC	0.1035	0.1905	ABC
ABC	0.0885	0.1595	ABC
ABC	0.0775	0.1125	ABC
ACB	0.1375	0.2575	other
ABC	0.0935	0.1455	ABC
ACB	0.1525	0.2545	other
ABC	0.1205	0.1395	ABC
ABC	0.086	0.143	ABC
ABC	0.0945	0.1375	ABC
ABC	0.1095	0.1475	ABC
ABC	0.1205	0.1535	ABC
ACB	0.1345	0.2495	other
ABC	0.104	0.131	ABC
ACB	0.129	0.255	other
ABC	0.12	0.148	ABC
ABC	0.0845	0.1405	ABC
ABC	0.09	0.161	ABC
ABC	0.103	0.135	ABC
ABC	0.1285	0.1335	ABC
ABC	0.0845	0.1375	ABC
ABC	0.1035	0.1285	ABC
ABC	0.098	0.145	ABC
ABC	0.0925	0.1455	ABC
ABC	0.0965	0.1305	ABC
ABC	0.091	0.139	ABC
ACB	0.1305	0.2855	other
ABC	0.0905	0.1305	ABC
ABC	0.0915	0.1365	ABC
ACB	0.1205	0.2485	other
ABC	0.105	0.165	ABC
ACB	0.136	0.243	other
ACB	0.1215	0.2535	other
ACB	0.1235	0.2535	other
ABC	0.104	0.132	ABC
ABC	0.072	0.118	ABC
