Topology	T2	T1	res_topo
ABC	0.145	0.154	ABC
ABC	0.0785	0.1295	ABC
ABC	0.096	0.137	ABC
ABC	0.094	0.136	ABC
ABC	0.0925	0.1255	ABC
ABC	0.0945	0.1345	ABC
ABC	0.0925	0.1265	ABC
BCA	0.012	0.094	other
ABC	0.112	0.133	ABC
ABC	0.0835	0.1275	ABC
ABC	0.086	0.131	ABC
ABC	0.0995	0.1175	ABC
BCA	0.0125	0.1145	other
ABC	0.1015	0.1565	ABC
ABC	0.091	0.147	ABC
ABC	0.0885	0.1265	ABC
ABC	0.082	0.132	ABC
ABC	0.0925	0.1375	ABC
ABC	0.089	0.119	ABC
ABC	0.099	0.133	ABC
ABC	0.0835	0.1205	ABC
ABC	0.0965	0.1265	ABC
ABC	0.1285	0.1545	ABC
ABC	0.1005	0.1265	ABC
BCA	0.0015	0.0905	other
ABC	0.0885	0.1315	ABC
ABC	0.1105	0.1435	ABC
ABC	0.0865	0.1315	ABC
BCA	0.0045	0.0945	other
ABC	0.087	0.127	ABC
BCA	0.017	0.089	other
ABC	0.095	0.123	ABC
ABC	0.0965	0.1645	ABC
ABC	0.118	0.155	ABC
ABC	0.099	0.145	ABC
ABC	0.095	0.142	ABC
ABC	0.085	0.128	ABC
ABC	0.085	0.17	ABC
BCA	0.0115	0.1175	other
ABC	0.099	0.136	ABC
ABC	0.0895	0.1815	ABC
ABC	0.084	0.128	ABC
ABC	0.0995	0.1525	ABC
ABC	0.0895	0.1315	ABC
ABC	0.099	0.152	ABC
BCA	0.007	0.098	other
ABC	0.1005	0.1425	ABC
ABC	0.1035	0.1425	ABC
ABC	0.082	0.119	ABC
ABC	0.084	0.122	ABC
ABC	0.082	0.128	ABC
ABC	0.084	0.132	ABC
ABC	0.0975	0.1425	ABC
ABC	0.0795	0.1265	ABC
ABC	0.081	0.122	ABC
ABC	0.0915	0.1275	ABC
ABC	0.109	0.138	ABC
ABC	0.1025	0.1345	ABC
ABC	0.0755	0.1375	ABC
ABC	0.085	0.136	ABC
ABC	0.091	0.143	ABC
ABC	0.0905	0.1475	ABC
ABC	0.0945	0.1305	ABC
ABC	0.0775	0.1405	ABC
BCA	0.0085	0.0915	other
ABC	0.088	0.146	ABC
ABC	0.096	0.131	ABC
ABC	0.125	0.144	ABC
BCA	0.0175	0.1045	other
ABC	0.0895	0.1255	ABC
ABC	0.078	0.119	ABC
BCA	0.0325	0.1215	other
ABC	0.099	0.135	ABC
ABC	0.099	0.134	ABC
ABC	0.0885	0.1395	ABC
ABC	0.093	0.149	ABC
ABC	0.084	0.124	ABC
ABC	0.072	0.117	ABC
ABC	0.102	0.118	ABC
ABC	0.087	0.126	ABC
ABC	0.0885	0.1425	ABC
BCA	0.003	0.101	other
BCA	0.0075	0.1025	other
ABC	0.088	0.163	ABC
ABC	0.087	0.127	ABC
ABC	0.1195	0.1355	ABC
ABC	0.0905	0.1435	ABC
ABC	0.097	0.128	ABC
ABC	0.096	0.132	ABC
ABC	0.094	0.125	ABC
ABC	0.0895	0.1355	ABC
ABC	0.103	0.164	ABC
ABC	0.101	0.15	ABC
ACB	0.136	0.144	other
BCA	0.01	0.116	other
ABC	0.0875	0.1385	ABC
BCA	0.006	0.08	other
ABC	0.1065	0.1375	ABC
ABC	0.089	0.126	ABC
ABC	0.097	0.171	ABC
ABC	0.1	0.161	ABC
ABC	0.114	0.143	ABC
ABC	0.127	0.134	ABC
ABC	0.0785	0.1355	ABC
ABC	0.1005	0.1295	ABC
ABC	0.1035	0.1535	ABC
ABC	0.081	0.129	ABC
ABC	0.113	0.149	ABC
ABC	0.0815	0.1175	ABC
BCA	0.011	0.086	other
BCA	0.0115	0.1005	other
ABC	0.0955	0.1575	ABC
ABC	0.089	0.127	ABC
ABC	0.0895	0.1255	ABC
ABC	0.089	0.159	ABC
BCA	0.0015	0.0845	other
ABC	0.107	0.142	ABC
ABC	0.095	0.128	ABC
ABC	0.094	0.148	ABC
ABC	0.0895	0.1335	ABC
ABC	0.113	0.148	ABC
ABC	0.118	0.154	ABC
BCA	0.0195	0.1215	other
BCA	0.0035	0.1255	other
ABC	0.11	0.128	ABC
ABC	0.0895	0.1395	ABC
ABC	0.0945	0.1315	ABC
ABC	0.085	0.137	ABC
ABC	0.124	0.129	ABC
ABC	0.092	0.136	ABC
ABC	0.075	0.113	ABC
ABC	0.1015	0.1385	ABC
BCA	5e-04	0.0685	other
ABC	0.088	0.138	ABC
ABC	0.1035	0.1525	ABC
ABC	0.108	0.153	ABC
ABC	0.093	0.143	ABC
BCA	0.021	0.095	other
ABC	0.0965	0.1315	ABC
BCA	0.009	0.131	other
BCA	0.003	0.084	other
BCA	0.005	0.067	other
ABC	0.1	0.127	ABC
ABC	0.0995	0.1415	ABC
ABC	0.083	0.155	ABC
ABC	0.0955	0.1515	ABC
ABC	0.0945	0.1325	ABC
ABC	0.089	0.157	ABC
ABC	0.117	0.15	ABC
ABC	0.085	0.13	ABC
BCA	5e-04	0.0915	other
BCA	0.0165	0.0985	other
ABC	0.0905	0.1295	ABC
ABC	0.0995	0.1545	ABC
ABC	0.0945	0.1225	ABC
ABC	0.1025	0.1505	ABC
ABC	0.1115	0.1455	ABC
BCA	0.1285	0.1435	other
ABC	0.0935	0.1445	ABC
BCA	0.143	0.15	other
BCA	0.006	0.088	other
ABC	0.088	0.138	ABC
BCA	0.0095	0.0885	other
ABC	0.0965	0.1205	ABC
ABC	0.101	0.134	ABC
ABC	0.12	0.137	ABC
ABC	0.0935	0.1315	ABC
ABC	0.092	0.12	ABC
ABC	0.0885	0.1345	ABC
ABC	0.0885	0.1195	ABC
